sentence,Predicted,Expected,Result
zglgtn can not be equal to null,Value equals to null,VALUE not_equals to null,Fail
cttfla can be a empty,Value equals to null,VALUE equals to null,Fail
ugyick number should not be null.,Value not_equals to null,VALUE not_equals to null,Fail
njevon is required to be empty,Value equals to null,VALUE equals to null,Fail
vyqbxm depth must be null,Value equals to null,VALUE equals to null,Fail
bvsdph must be an empty string.,VALUE is equal to NUMBER,VALUE equals to null,Fail
pjsceg shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
ycladv might be in between 4405 to 64254,Value is_within(4405 to 64254),"Value is_within(4405,64254)",Fail
yqqkiu is required to be null,Value equals to null,VALUE equals to null,Fail
yhqmws should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
vnoyzv can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
rfdxhj can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
bclenq can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
"kqsgvi exceeds 6644,but does not exceeds 49645","Value is_within(6644,4645)","Value is_within(6644,49645)",Fail
namlei can not be equal to null,Value equals to null,VALUE not_equals to null,Fail
pqlsqp is null.,Value equals to null,VALUE equals to null,Fail
uezpzb equals a number under 9808 and over 63885,"Value is_within(9808,6385)","Value is_within(9808,63885)",Fail
pfcxzo mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
nizuef could not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
"kxcuyc should not be greater than 67554 ,but less than 8364","Value is_within(6356,8364)","Value is_within(8364,67554)",Fail
uvlhhd is expected to be empty,Value equals to null,VALUE equals to null,Fail
jwqoym may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
xvakjn should contain the value of date,Value equals to null,VALUE is equal to DATE,Fail
czknai must not be populated,Value not_equals to null,VALUE equals to null,Fail
oihkhw could be less than 4773 and more than 16396,"Value is_within(4773,1646)","Value is_within(4773,16396)",Fail
egcppc can be left empty,Value equals to null,VALUE equals to null,Fail
vgxrfb cannot be empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
hernzo can only hold date data type,VALUE is equal to DATE,VALUE is equal to DATE,Pass
"kxcuyc exceeds 8364,but does not exceeds 67554","Value is_within(8364,6554)","Value is_within(8364,67554)",Fail
vuxjcg could not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
wuvzgq can be equal to empty,Value equals to null,VALUE equals to null,Fail
pbdden could be null.,VALUE is equal to NULL,VALUE equals to null,Fail
ehgyai is empty.,Value equals to null,VALUE equals to null,Fail
uwwlwa would be empty,Value equals to null,VALUE equals to null,Fail
yhqmws is not null,Value not_equals null,VALUE not_equals to null,Fail
cllyfz could not be empty,Value not_equals to null,VALUE not_equals to null,Fail
vsfmbn cannot be blank,Value not_equals to null,VALUE not_equals to null,Fail
qtratm must have a non-null loan number,Value not_equals to null,VALUE not_equals to null,Fail
qatafx mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
whvlyw can be left empty,Value equals to null,VALUE equals to null,Fail
cfedip is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
cfvjvp canbe blank,Value equals to null,VALUE equals to null,Fail
rhhvxu isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
cuwpmm cannot be null.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
tgbuvo has not some values.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
tcvpjy should be null,Value equals to null,VALUE equals to null,Fail
ylogir can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
fecxsj is required to be not null,Value equals to null,VALUE not_equals to null,Fail
shvgti could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
wahmwc canbe empty,Value equals to null,VALUE equals to null,Fail
tlbfqn can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
mihtwi must have a non-null loan number,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
yqqkiu must be empty.,VALUE is equal to NULL,VALUE equals to null,Fail
Lets say qppqeo have null values,Value equals to null,VALUE equals to null,Fail
ddondq should be blank,Value equals to null,VALUE equals to null,Fail
mjbxgo consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
vwoaaf must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
xklmqm could be empty,Value equals to null,VALUE equals to null,Fail
qirwnn should be null,Value equals to null,VALUE equals to null,Fail
upieyx must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
fecxsj can't be a null,Value not_equals to null,VALUE not_equals to null,Fail
grkrim must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
kojxqx can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
cpxzti can be equal to blank,Value equals to null,VALUE equals to null,Fail
asinhm is equal to the value of date,Value equals to null,VALUE is equal to DATE,Fail
gfuehz is with in 6070 to 63332,Value is_within(6070 to63332),"Value is_within(6070,63332)",Fail
"uppafp IS LONGER THAN four thousand, seven hundred AND ALSO uppafp IS SMALL THAN eight thousand, nine hundred and seventy-three","Value is_within(four thousand, seven hundred)","Value is_within(4700,8973)",Fail
cqomya describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
rcdpig field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
qlylbu could be null.,Value equals to null,VALUE equals to null,Fail
qdsnjl is with in 1237 to 43127,"Value is_within(1237,43127)","Value is_within(1237,43127)",Pass
"qohzma exceeds 1120,but does not exceeds 94111","Value is_within(1120,94111)","Value is_within(1120,94111)",Pass
pbdden must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
izqfls is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
hkccvb cannot be blank,Value not_equals to null,VALUE not_equals to null,Fail
oopulf could be less than 9866 and more than 93454,"Value is_within(9166,9354)","Value is_within(9866,93454)",Fail
pxptyp number should be null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
xfhlin could be null,Value equals to null,VALUE equals to null,Fail
sjqgrl represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
wwmsnt would not be null,Value equals to null,VALUE not_equals to null,Fail
uppafp is more than 4700 and also uppafp should not exceed 8973,"Value is_within(4700,8973)","Value is_within(4700,8973)",Pass
ozqjwn mustn't be empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
gtpnsz equals a number under 1764 and over 23255,"Value is_within(1764,23255)","Value is_within(1764,23255)",Pass
wwlehm is required to be null,Value equals to null,VALUE equals to null,Fail
fqanqw is not null.,Value not_equals to null,VALUE not_equals to null,Fail
rcdpig should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
nphufv would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
iyloci cannot be null,Value not_equals to null,VALUE not_equals to null,Fail
yuercd can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
jwsemu is a null,Value equals to null,VALUE equals to null,Fail
egcppc should not have a expired indicator,Value not_equals to null,VALUE equals to null,Fail
nyyjpo can't be a null,Value not_equals to null,VALUE not_equals to null,Fail
wpqgqx canbe empty.,Value equals to null,VALUE equals to null,Fail
zvluvb canbe empty,Value equals to null,VALUE equals to null,Fail
gaazyz is more than 8733 and also gaazyz should not exceed 93256,"Value is_within(8733,93256)","Value is_within(8733,93256)",Pass
immlmq is not null.,Value not_equals to null,VALUE not_equals to null,Fail
zaccez isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
suwugi must have a null loan number,Value equals to null,VALUE equals to null,Fail
qjbzla can be equal to null,Value equals to null,VALUE equals to null,Fail
wahmwc would be blank,Value equals to null,VALUE equals to null,Fail
nnzdwx is not blank,Value not_equals to null,VALUE not_equals to null,Fail
ajqrkp describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ymvrex is not blank,Value not_equals to null,VALUE not_equals to null,Fail
ydmzpd represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ihjbzu describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
gzrpmw can be equal to null,Value equals to null,VALUE equals to null,Fail
yraqos mustn't be empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
dujqvz can be equal to null,Value equals to null,VALUE equals to null,Fail
maizsi shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
foyeug must not be populated,Value not_equals to null,VALUE equals to null,Fail
kodygj is required to be null,Value equals to null,VALUE equals to null,Fail
cthyqs can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
"mldsta could be greater than 651 ,but less than 39159","Value is_within(651,39159)","Value is_within(651,39159)",Pass
wmdzze can be in range 2941 to 48189,Value is_within(2941 to 48189),"Value is_within(2941,48189)",Fail
iyloci isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
ixmehr must have a non-null loan number,Value not_equals to null,VALUE not_equals to null,Fail
ouryod mustn't be null,Value not_equals to null,VALUE not_equals to null,Fail
epzzyj represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
qjqdta is empty,Value equals to null,VALUE equals to null,Fail
"zvslkj must be greater than 697,but less than  49880","Value is_within(697,49880)","Value is_within(697,49880)",Pass
"wmejbu must be greater than 7065,but less than  19793","Value is_within(7065,793)","Value is_within(7065,19793)",Fail
ucjgim field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
xpbbzr is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
"ziiedp is greater than 5235,but less than 24361","Value is_within(5235,24361)","Value is_within(5235,24361)",Pass
"miufwx lies between five hundred and sixty-two and seventy-one thousand, five hundred and forty-nine","Value is_within(562,711)","Value is_within(562,71549)",Fail
tdcxan cannot be blank,Value not_equals to null,VALUE not_equals to null,Fail
ojvgno would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
fecxsj mustn't be null,Value equals to null,VALUE not_equals to null,Fail
ltkfdy can be left blank,Value equals to null,VALUE equals to null,Fail
ygeirj would not be null,Value equals to null,VALUE not_equals to null,Fail
cecujz can be a null,Value equals to null,VALUE equals to null,Fail
unkdnl must have a null loan number,Value equals to null,VALUE equals to null,Fail
hdkwux could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
lnluoo can only hold date data type,VALUE is equal to DATE,VALUE is equal to DATE,Pass
bfgtdm must be empty,Value equals to null,VALUE equals to null,Fail
lscmqj must be empty,Value equals to null,VALUE equals to null,Fail
"jusply lies between nine thousand, three hundred and ninety-seven and twenty-nine thousand, six hundred and thirty-four","Value is_within(9 000,397 and294)","Value is_within(9397,29634)",Fail
cfedip cannot be null,Value equals to null,VALUE not_equals to null,Fail
litqcc could be empty,Value equals to null,VALUE equals to null,Fail
yrudkd is expected to be empty,Value equals to null,VALUE equals to null,Fail
wibvqn may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
gzrpmw can be equal to blank,Value equals to null,VALUE equals to null,Fail
wpqgqx is blank,Value equals to null,VALUE equals to null,Fail
cfedip is expected to be not null,Value not_equals null,VALUE not_equals to null,Fail
unkdnl should not have a lithology description.,lithology not_equals to null,VALUE equals to null,Fail
aubusd canbe empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
ujzbgx is not empty,Value not_equals to null,VALUE not_equals to null,Fail
rcdpig depth must not be null,Value equals to null,VALUE not_equals to null,Fail
xscpjc could be empty,Value equals to null,VALUE equals to null,Fail
vmrdvr should be empty,Value equals to null,VALUE equals to null,Fail
fgqlsr could be empty,Value equals to null,VALUE equals to null,Fail
uiqvgr is null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
dtcfxh is null.,Value equals to null,VALUE equals to null,Fail
xcbrzn could not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
ntkxhe consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ugyick can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
pcyeys can not be equal to null,Value equals to null,VALUE not_equals to null,Fail
vyqbxm can be equal to blank,Value equals to null,VALUE equals to null,Fail
alxuly should be empty,Value equals to null,VALUE equals to null,Fail
ixvmwy could be blank,Value equals to null,VALUE equals to null,Fail
npaoqd can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
pbdden can be equal to blank,Value equals to null,VALUE equals to null,Fail
onqiuj can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
cegjec is required to be not null,Value equals to null,VALUE not_equals to null,Fail
wssdgw has some values.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
isweno is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
nphufv is not null,Value equals to null,VALUE not_equals to null,Fail
zjlyef describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ltkfdy would be null,Value equals to null,VALUE equals to null,Fail
itpgqd is required to be null,Value equals to null,VALUE equals to null,Fail
bxboto is null.,Value equals to null,VALUE equals to null,Fail
yddfyg should not have a lithology description.,yddfyg is not_equal to zero.,VALUE equals to null,Fail
lvvlfj must be empty,Value equals to null,VALUE equals to null,Fail
mjbxgo is of value date,Value equals to null,VALUE is equal to DATE,Fail
ddondq can be left blank,Value equals to null,VALUE equals to null,Fail
trbnpf number should be null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
Lets say wmsbtw have null values,Value equals to null,VALUE equals to null,Fail
zvluvb could be null,Value equals to null,VALUE equals to null,Fail
eichkl should not have a expired indicator,Value not_equals to null,VALUE equals to null,Fail
"mekynp IS LONGER THAN eight thousand, six hundred and forty-eight AND ALSO mekynp IS SMALL THAN seventy-four thousand, five hundred and thirty-five","VALUE IS_within(8 thousand,6 hundred and forty)","Value is_within(8648,74535)",Fail
zeqrvl must be blank,Value equals to null,VALUE equals to null,Fail
wcuiyy cannot be null,Value not_equals to null,VALUE not_equals to null,Fail
"cqomya represents a specific day, month and year.",VALUE is equal to DATE,VALUE is equal to DATE,Pass
qbbcsq is required to be null,Value equals to null,VALUE equals to null,Fail
bclenq cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
gzrpmw is null,Value equals to null,VALUE equals to null,Fail
fglnac can not be left empty,Value not_equals to null,VALUE not_equals to null,Fail
"jtyqvz is comprised between 9951, excluded, and 33262","Value is_within(9951,3262)","Value is_within(9951,33262)",Fail
crxxkr canbe empty,Value equals to null,VALUE equals to null,Fail
"ngaqiy is more than 6515 ,but less than 70118","Value is_within(6515,70118)","Value is_within(6515,70118)",Pass
fcfzju cannot be null.,Value not_equals to null,VALUE not_equals to null,Fail
ucgxmd is equivalent to date,Value equals to null,VALUE is equal to DATE,Fail
czaqas would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
ouryod is not blank,Value not_equals to null,VALUE not_equals to null,Fail
"jlncha could be greater than 4909 ,but less than 18546","Value is_within(4909,18546)","Value is_within(4909,18546)",Pass
yymuqb mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
bofcuo mustn't be empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
zbbila has some values.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
gysibh is strictly greater than 1145 and strictly lower than 87178,"Value is_within(1145,87178)","Value is_within(1145,87178)",Pass
rpszsy could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
"slggzf represents a specific day, month and year.",VALUE is equal to DATE,VALUE is equal to DATE,Pass
isweno field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
egcppc must be empty,Value equals to null,VALUE equals to null,Fail
npaoqd should have a expired indicator,Value equals to null,VALUE not_equals to null,Fail
fvmpen could be less than 1710 and more than 46259,"Value is_within(1710,4625)","Value is_within(1710,46259)",Fail
nszato should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
bcmseo could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
yymuqb mustn't be null,Value equals to null,VALUE not_equals to null,Fail
ugyick mustn't be null,Value not_equals to null,VALUE not_equals to null,Fail
uwcvdw is blank,Value equals to null,VALUE equals to null,Fail
wgqpuz is expected to be null,Value equals to null,VALUE equals to null,Fail
swzeot would not be null,Value equals to null,VALUE not_equals to null,Fail
qoxavd must not be blank,Value not_equals to null,VALUE not_equals to null,Fail
aypgxf has not some values.,Value not_equals to null,VALUE equals to null,Fail
ixmehr can't be a null,Value not_equals to null,VALUE not_equals to null,Fail
ybpbmv could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
vjnsvc number should not be null.,VALUE is not_equal to NULL,VALUE not_equals to null,Fail
zfzyrs is strictly greater than 2989 and strictly lower than 89958,"Value is_within(2989,8958)","Value is_within(2989,89958)",Fail
hssrcb cannot be blank,Value not_equals to null,VALUE not_equals to null,Fail
oexfdw equals a number under 2191 and over 38735,"Value is_within(2191,3773)","Value is_within(2191,38735)",Fail
tubrig can be equal to null,Value equals to null,VALUE equals to null,Fail
vyqbxm should not contain something,Value not_equals to null,VALUE equals to null,Fail
pxptyp is null,Value equals to null,VALUE equals to null,Fail
hckzkr is not blank,Value not_equals to null,VALUE not_equals to null,Fail
"xrnmyg must be greater than 5102 ,but less than 95852","Value is_within(5202,9585)","Value is_within(5102,95852)",Fail
yddfyg canbe null.,Value equals to null,VALUE equals to null,Fail
bcgrfy canbe null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
fzquej is expected to be null,Value equals to null,VALUE equals to null,Fail
btpemn would not be null,Value equals to null,VALUE not_equals to null,Fail
xusyol could be blank,Value equals to null,VALUE equals to null,Fail
rjzvrj is not a null,Value not_equals to null,VALUE not_equals to null,Fail
foyeug is empty,Value equals to null,VALUE equals to null,Fail
bcgrfy can be a empty,Value equals to null,VALUE equals to null,Fail
wpylcg can only hold date data type,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ngwbrk is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
shvgti field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
tmakfo is of value date,Value equals to null,VALUE is equal to DATE,Fail
lvvlfj canbe empty,Value equals to null,VALUE equals to null,Fail
unkdnl could be null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
ueajfp may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
wpqgqx should not have a lithology description.,wpqgqx not_equals to null,VALUE equals to null,Fail
uiqvgr field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
qppqeo could be null,Value equals to null,VALUE equals to null,Fail
nkykvc would be empty,Value equals to null,VALUE equals to null,Fail
mxbkka describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
vjnsvc should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
oqvxaz is null.,Value equals to null,VALUE equals to null,Fail
iqlwbs shall be found somewhere between 2197 and 30699,Value is_within(2197-30699),"Value is_within(2197,30699)",Fail
dmlmnr must not be blank,Value not_equals to null,VALUE not_equals to null,Fail
phgxnb is blank,Value equals to null,VALUE equals to null,Fail
pbdden should not contain something,Value not_equals to null,VALUE equals to null,Fail
"grasqr could be greater than 6898 ,but less than 52483","Value is_within(6898,5283)","Value is_within(6898,52483)",Fail
ltkfdy can be equal to empty,Value equals to null,VALUE equals to null,Fail
vjkcht must have a null loan number,Value equals to null,VALUE equals to null,Fail
xqdgoy is expected to be null,Value equals to null,VALUE equals to null,Fail
erhnsu could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
hvraha is with in 9724 to 37376,Value is_within(9724-37376),"Value is_within(9724,37376)",Fail
Lets say jonjcp cannot have null values,Value not_equals to null,VALUE not_equals to null,Fail
wcrewy is null.,Value equals to null,VALUE equals to null,Fail
rsbvwq is more than 9983 and also rsbvwq should not exceed 46226,"Value is_within(9983,4626)","Value is_within(9983,46226)",Fail
"sqhlbu could be greater than 1584 ,but less than 5772","Value is_within(1584,5772)","Value is_within(1584,5772)",Pass
rqozzk can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
dckwfl is a null,Value equals to null,VALUE equals to null,Fail
dckwfl can be a null,Value equals to null,VALUE equals to null,Fail
madwmj is strictly greater than 1210 and strictly lower than 90905,"Value is_within(1210,90905)","Value is_within(1210,90905)",Pass
nejqts can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
cirbha equals a number under 8992 and over 83637,"Value is_within(8992,8337)","Value is_within(8992,83637)",Fail
mmljrs is empty,Value equals to null,VALUE equals to null,Fail
eujiot is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
tdcxan should not be empty,Value not_equals to null,VALUE not_equals to null,Fail
olungd shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
ilbywy isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
cpxzti should not contain something,Value not_equals to null,VALUE equals to null,Fail
uwwlwa must have a null loan number,Value equals to null,VALUE equals to null,Fail
nejqts can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
vmrdvr is empty,Value equals to null,VALUE equals to null,Fail
ymqqvy may not contain the value of date,VALUE is not_equal to DATE,VALUE is equal to DATE,Fail
ozqjwn could not be null,Value equals to null,VALUE not_equals to null,Fail
ybpbmv field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
qmgpvx is with in 6482 to 70614,Value equals to null,"Value is_within(6482,70614)",Fail
dahbph could be equal to blank,Value equals to null,VALUE equals to null,Fail
"muoony represents a specific day, month and year.",VALUE is equal to DATE,VALUE is equal to DATE,Pass
uqxnhe must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
bbmfvm is not empty,Value not_equals null,VALUE not_equals to null,Fail
iyloci is not null,Value equals to null,VALUE not_equals to null,Fail
fuwvkf can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
inpptb is required to be not null,Value equals to null,VALUE not_equals to null,Fail
zfwmnt should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
tcqoeu canbe null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
whvlyw should not have a lithology description.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
kejcah would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
wbvoat could not be empty,Value not_equals to null,VALUE not_equals to null,Fail
dyzxmf can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
fignuf would be empty,Value equals to null,VALUE equals to null,Fail
uwyjvd number should not be null.,Value not_equals to null,VALUE not_equals to null,Fail
"lgzqfq is comprised between 8337, excluded, and 50554","Value is_within(8337, 50554)","Value is_within(8337,50554)",Fail
itowag should contain the value of date,Value equals to null,VALUE is equal to DATE,Fail
fmigwx can be equal to empty,Value equals to null,VALUE equals to null,Fail
vfozul represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
"uxsvru lies between seven hundred and eighty-one and fifty-two thousand, one hundred and ninety-two","Value is_within(71,81)","Value is_within(781,52192)",Fail
cudgam number should be null.,VALUE is equal to NULL,VALUE equals to null,Fail
sirtsl is always NOT NULL,Value not_equals to null,VALUE not_equals to null,Fail
mlarpy would not be null,Value equals to null,VALUE not_equals to null,Fail
"oekkse should not be greater than 45444 ,but less than 8268","Value is_within(5444,8268)","Value is_within(8268,45444)",Fail
nqsbcj cannot be null.,Value not_equals to null,VALUE not_equals to null,Fail
swzeot should not be empty,Value not_equals to null,VALUE not_equals to null,Fail
tqmmju can be equal to empty,Value equals to null,VALUE equals to null,Fail
ygeirj would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
kodygj could be blank,Value equals to null,VALUE equals to null,Fail
krumex must have a null loan number,Value equals to null,VALUE equals to null,Fail
"rxnxyd is greater than 9752,but less than 98802","Value is_within(9752,9802)","Value is_within(9752,98802)",Fail
remxly should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
rnauzs is required to be not null,Value not_equals null,VALUE not_equals to null,Fail
rqozzk would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
tcqoeu canbe blank,Value equals to null,VALUE equals to null,Fail
fpiogn could be null,Value equals to null,VALUE equals to null,Fail
paqxlh mustn't be null,Value equals to null,VALUE not_equals to null,Fail
atuzpf shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
sthtnr can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
"hpnhvb represents a specific day, month and year.",VALUE is equal to DATE,VALUE is equal to DATE,Pass
ufzpoj can be in range 7546 to 19324,Value is_within(7546-19334),"Value is_within(7546,19324)",Fail
jqqeuv might be in between 3650 to 28967,Value is_within(3650-28967),"Value is_within(3650,28967)",Fail
ngwbrk can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
glbibd has not some values.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
tqjlfh can be equal to empty,Value equals to null,VALUE equals to null,Fail
cecujz is expected to be null,Value equals to null,VALUE equals to null,Fail
immlmq must not be blank,Value not_equals to null,VALUE not_equals to null,Fail
dbwhlf can not be equal to null,Value equals to null,VALUE not_equals to null,Fail
omxvbk is not null,Value equals to null,VALUE not_equals to null,Fail
lxymmq consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
bfgtdm field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
uwwlwa must be blank,Value equals to null,VALUE equals to null,Fail
dihjkk cannot be null,Value not_equals to null,VALUE not_equals to null,Fail
bvsdph should be blank,Value equals to null,VALUE equals to null,Fail
"plchsp could be greater than 8675 ,but less than 69632","Value is_within(8675,6632)","Value is_within(8675,69632)",Fail
aihteq describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
suwugi must not be populated,Value not_equals to null,VALUE equals to null,Fail
zdypxi cannot be null,Value not_equals to null,VALUE equals to null,Fail
sjqgrl is equivalent to date,Value equals to null,VALUE is equal to DATE,Fail
cthyqs shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
fmigwx canbe empty,Value equals to null,VALUE equals to null,Fail
rrczhj can be equal to empty,Value equals to null,VALUE equals to null,Fail
Lets say vimmwe have null values,Value equals to null,VALUE equals to null,Fail
wpmbnz would be blank,Value equals to null,VALUE equals to null,Fail
fqanqw can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
ajmufy is more than 1296 and also ajmufy should not exceed 73835,"Value is_within(1296,7385)","Value is_within(1296,73835)",Fail
"qjgfnz is more than 9159 ,but less than 66378","Value is_within(9159,6378)","Value is_within(9159,66378)",Fail
xscpjc number should be null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
ibrzch is not empty,Value not_equals to null,VALUE not_equals to null,Fail
qtratm cannot be null,Value not_equals to null,VALUE not_equals to null,Fail
wlsdjl is of value date,Value not_equals to null,VALUE is equal to DATE,Fail
uezpzb shall be found somewhere between 9808 and 63885,"Value is_within(9808,6385)","Value is_within(9808,63885)",Fail
dihjkk must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
ssnros could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
vavjms can be left empty,Value equals to null,VALUE equals to null,Fail
pxptyp could be empty,Value equals to null,VALUE equals to null,Fail
qatafx is not null,Value not_equals null,VALUE not_equals to null,Fail
ajqrkp consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
vavjms can be left blank,Value equals to null,VALUE equals to null,Fail
feormp should contain the value of date,Value equals to null,VALUE is equal to DATE,Fail
doaaun could be blank,Value equals to null,VALUE equals to null,Fail
jrictu is always NULL,Value equals to null,VALUE equals to null,Fail
bfgtdm can be a empty,Value equals to null,VALUE equals to null,Fail
cegjec depth must not be null,Value not_equals to null,VALUE not_equals to null,Fail
tqmmju is always NULL,Value equals to null,VALUE equals to null,Fail
llkjgp shall be found somewhere between 2974 and 31344,Value is_within(2974-31344),"Value is_within(2974,31344)",Fail
vimmwe canbe blank,Value equals to null,VALUE equals to null,Fail
rcdpig could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
ymvrex could not be null,Value equals to null,VALUE not_equals to null,Fail
lrcdvz would be empty,Value equals to null,VALUE equals to null,Fail
